Martial Weapons;Price;Damage;Bulk;Hands;Group;Weapon Traits
Bastard sword;4 gp;1d8 S;1;1;Sword;Two-hand d12
Battle axe;1 gp;1d8 S;1;1;Axe;Sweep
Bo staff;2 sp;1d8 B;2;2;Club;Monk, parry, reach, trip
Falchion;3 gp;1d10 S;2;2;Sword;Forceful, sweep
Flail;8 sp;1d6 B;1;1;Flail;Disarm, sweep, trip
Glaive;1 gp;1d8 S;2;2;Polearm;Deadly d8, forceful, reach
Greataxe;2 gp; 1d12 S;2;2;Axe; Sweep
Greatclub;1 gp;1d10 B;2;2;Club;Backswing, shove
Greatpick;1 gp;1d10 P;2;2;Pick;Fatal d12
Greatsword;2 gp;1d12 S;2;2;Sword;Versatile P
Guisarme;2 gp;1d10 S;2;2;Polearm;Reach, trip
Halberd;2 gp;1d10 P;2;2;Polearm;Reach, versatile S
Hatchet;4 sp;1d6 S;L;1;Axe;Agile, sweep, thrown 10 ft.
Lance;1 gp;1d8 P;2;2;Spear;Deadly d8, jousting d6, reach
Light hammer;3 sp;1d6 B;L;1;Hammer;Agile, thrown 20 ft.
Light pick;4 sp;1d4 P;L;1;Pick;Agile, fatal d8
Longsword;1 gp;1d8 S;1;1;Sword;Versatile P
Main-gauche;5 sp;1d4 P;L;1;Knife;Agile, disarm, finesse, parry, versatile S
Maul;3 gp;1d12 B;2;2;Hammer;Shove
Pick;7 sp;1d6 P;1;1;Pick;Fatal d10
Ranseur;2 gp;1d10 P;2;2;Polearm;Disarm, reach
Rapier;2 gp;1d6 P;1;1;Sword;Deadly d8, disarm, finesse
Sap;1 sp;1d6 B;L;1;Club;Agile, nonlethal
Scimitar;1 gp;1d6 S;1;1;Sword;Forceful, sweep
Scythe;2 gp;1d10 S;2;2;Polearm;Deadly d10, trip
Shield;bash -;1d4 B;-;1;Shield;-
Shield boss;5 sp;1d6 B;-;1;Shield;Attached to shield
Shield spikes;5 sp;1d6 P;-;1;Shield;Attached to shield
Shortsword;9 sp;1d6 P;L;1;Sword;Agile, finesse, versatile S
Starknife;2 gp;1d4 P;L;1;Knife;Agile, deadly d6, finesse, thrown 20 ft., versatile S
Trident;1 gp;1d8 P;1;1;Spear;Thrown 20 ft.
War flail;2 gp;1d10 B;2;2;Flail;Disarm, sweep, trip
Warhammer;1 gp;1d8 B;1;1;Hammer;Shove
Whip;1 sp;1d4 S;1;1;Flail;Disarm, finesse, nonlethal, reach, trip