Uncommon Martial Weapons;Price;Damage;Bulk;Hands;Group;Weapon Traits
Dogslicer;1 sp;1d6 S;L;1;Sword;Agile, backstabber, finesse, goblin
Elven curve blade;4 gp;1d8 S;2;2;Sword;Elf, finesse, forceful
Filcher's fork;1 gp;1d4 P;L;1;Spear;Agile, backstabber, deadly d6, finesse, halfling, thrown 20 ft.
Gnome hooked hammer;2 gp;1d6 B;1;1;Hammer;Gnome, trip, two-hand d10, versatile P
Horsechopper;9 sp;1d8 S;2;2;Polearm;Goblin, reach, trip, versatile P
Kama;1 gp;1d6 S;L;1;Knife;Agile, monk, trip
Katana;2 gp;1d6 S;1;1;Sword;Deadly d8, two-hand d10, versatile P
Kukri;6 sp;1d6 S;L;1;Knife;Agile, finesse, trip
Nunchaku;2 sp;1d6 B;L;1;Club;Backswing, disarm, finesse, monk
Orc knuckle dagger;7 sp;1d6 P;L;1;Knife;Agile, disarm, orc
Sai;6 sp;1d4 P;L;1;Knife;Agile, disarm, finesse, monk, versatile B
Spiked chain;3 gp;1d8 S;1;2;Flail;Disarm, finesse, trip
Temple sword;2 gp;1d8 S;1;1;Sword;Monk, trip